user_name,user_location,user_description,user_verified,date,text,hashtags,source
Ms. Goddess 🦋,🇺🇸 ♥️,"A free spirit is a trait to be cherished.  🌴🌻✈️🍷  Live according to your own wishes & beliefs, unconstrained by society's conventions. ❤️🤍💙",False,2022-09-14 02:06:06+00:00,"Kim Foxx &amp; Lori Lightfoot are proof #Illinois has Diversity/Equity/Inclusion. I'll call it DIE for short because that's what a lot of people do there. #Chicago #crime @CookCountyGOP

https://t.co/pgj2AUEuZK",['Illinois'],Twitter Web App
Video Forensics,,"REDACTED

Like & RT ≠ Endorsement",False,2022-09-14 02:05:34+00:00,#BREAKING: #LISTEN: Mass #shooting at #WashingtonPark in #Chicago via @rawsalerts #police #crime #guncrime #ChicagoPD #BreakingNews https://t.co/cG2poChCPe,"['BREAKING', 'LISTEN', 'shooting', 'WashingtonPark', 'Chicago', 'police', 'crime', 'guncrime']",Twitter Web App
AllAuthor,,"AllAuthor official account. Feature your book to get regular  promotion on twitter with exclusive mock-up banners.
https://t.co/rzqhK7d32e",False,2022-09-14 02:05:04+00:00,"The story will keep you spellbound from beginning to end. Grab a copy of ""Stripper!"" now. #crime #fiction #mystery #thriller #series  @3Mdetective Buy Now --&gt; https://t.co/Ew4LztPNw2 https://t.co/Y6HSKbHPmm","['crime', 'fiction', 'mystery']",allauthor
Christopher Oldcorn,,Journalist and Opinion Writer @WSOnlineNews coldcorn@westernstandard.news,False,2022-09-14 02:04:00+00:00,Indigenous senator: Mass stabbing attacks caused by “colonial Canadian policies” - #news #canada #SaskatchewanStabbings #mylessanderson #mostwanted #rcmp #Sask #saskatchewan #sk #police #crime #violentcrime #criminals #indigenous #firstnations #fsin https://t.co/uVVRT8xmZD,"['news', 'canada']",Buffer
Lord of the Totals,"Philadelphia, PA",Like totals • LOVE crying • Cry with me • 207-168-12 record • 4x Overs Club champion • #2 ranked Pussy Hound • I can open a beer with my small hole •,False,2022-09-14 02:03:25+00:00,@PFTCommenter Vacate all the Packers wins during his tenure. #crime @FBI,['crime'],Twitter for iPhone
Wondering,,"Former teacher and current grandmother of three.  Now retired, I have returned to my second love, art.",False,2022-09-14 02:02:15+00:00,"@Gottabfishin Two million people, from 50 different countries, have entered the US illegally under Biden.

These include traffickers, drug smugglers, criminals, and terrorists - some with COVID.

But VP Harris says our border is secure.

#Biden #CovidIsntOver #TrumpWasRight #Trending #crime",,Twitter for iPhone
Hanari Pinku,United States,I write and draw...that's all 🙇🏾,False,2022-09-14 02:00:00+00:00,"Check out my #blog for more fun info about Sarina Maxine and feel free to chat with me!
https://t.co/TBBOL7BlUi
#wattpad #booktwt #bts #webtoons #WritingCommunity #books #free #read #romance #agegap #bwwm #tattoos #airforce #soldier #police #detective #gang #crime #mystery",['blog'],Twitter Web App
Crime Voice,California,Crime Voice is a Sacramento-based publishing company that covers crime news in California.,False,2022-09-14 02:00:00+00:00,"#OrangeCounty man arrested on suspicion of attempted murder, sexual assault --

https://t.co/gkFWKeV2iM

#Arrest info at #LocalCrimeNews:

https://t.co/dKzKnLsiNx

#california #crime #news #local #localnews #socal #socalnews #investigation #policeandcrime #crimenews","['OrangeCounty', 'Arrest']",Twitter Web App
ned kelly,,No good deed goes unpunished!,False,2022-09-14 01:59:23+00:00,One injured after package explodes on Northeastern's campus https://t.co/XQKNqqubeq via @nypost   #crime      #Boston,"['crime', 'Boston']",Twitter Web App
Bhaskar Majumdar #WearAMask 😷🇮🇳,New Delhi Dibrugarh Kolkata,"Strategic #CommunicationSpecialist #ESG #Branding #EmployeeEngagement #Digital #PublicAffairs #CSR

#Egis #ESPNStarSports #RelianceIndustries #APCO #AdfactorsPR",False,2022-09-14 01:57:31+00:00,"@TandonRaveena the just loved this explaination, ""The entire #British #museum is basically an active #crime scene 😀","['British', 'museum', 'crime']",Twitter for Android
Christopher Oldcorn,,Journalist and Opinion Writer @WSOnlineNews coldcorn@westernstandard.news,False,2022-09-14 01:53:00+00:00,Indigenous senator: Mass stabbing attacks caused by “colonial Canadian policies” - #news #SaskatchewanStabbings #mylessanderson #mostwanted #rcmp #Sask #saskatchewan #sk #police #crime #parole #violentcrime #criminals #indigenous #firstnations #fsin https://t.co/uVVRT8xUPb,"['news', 'SaskatchewanStabbings']",Buffer
Joseph Lewis,Virginia,"I write thriller/mystery/crime fiction, and my books have won over thirteen awards. Live Your Life, and Make A Difference!
https:https://t.co/hAO2EWM81J",False,2022-09-14 01:51:31+00:00,"@BookSpotlight A Five Star Review for Blaze In, Blaze Out by Author's Reading!

https://t.co/erCB7Lqxsq

#blackrosewriting @brwpublisher #writingcommunity #writing #writer #review #amreading #amwriting #novel #author #thriller #crime #Revenge #detective",,Twitter for Android
ActivistBowen: FULLY VAXXED + BOOSTED!,Hong Kong,"AMERICAN EXPAT in HONG KONG, person, blogger, dissident, son, brother, friend NOT a 1-man show; WE ARE BETTER THAN THIS THE WORLD IS BETTER THAN THIS #SOCIETY",False,2022-09-14 01:45:57+00:00,"update: @nypost: NOT good/ALARMING: Drowning deaths of 3 kids on #CONEYISLAND beach ruled HOMICIDES: medical examiner (September 14, 2022; 8:45 HKT) #CRIME",['CONEYISLAND'],Twitter Web App
MyBookBees,,“Take a good book to bed with you—books do not snore.”,False,2022-09-14 01:45:16+00:00,#Historical #WarFic #Crime #Murder Be prepared for an intense reading experience that won't let you set the book down. #ErnestoPatino Buy Now : https://t.co/uzEwYnD0MI via @amazon https://t.co/zEeTHMUHvB,"['Historical', 'WarFic', 'Crime', 'Murder']",SocialPilot.co
Belinda G. Buchanan,"Taylorsville, KY","I write edgy, women's fiction & mystery novels. Lover of all animals - except snakes. Can be bought with a Kit Kat.",False,2022-09-14 01:45:10+00:00,It's baptism by fire for new police chief Jack Collins as he searches for the killer of a young girl... #Mystery #Suspense #CrimeFiction #SmallTownMurder #ASMSG #IARTG #Paperback #Amazon #BYNR #WomensFiction #LiteraturePosts #Crime #MustReads https://t.co/1U0gQA9Vlu,['Mystery'],Hootsuite Inc.
Derrick  R. Bickley,"Birmingham, United Kingdom","Author of Penguin Books prize-winning short story The Prisoner and crime thriller novel The Hit-and-Run Man, available in most formats. PLEASE NO DMs",False,2022-09-14 01:45:00+00:00,"""A must read for action lovers"" FIVE/FOUR star reader-acclaimed https://t.co/X3Ott0RnHd THE HIT-AND-RUN MAN on #Kindle or your favourite digital store in PAPERBACK AUDIOBOOK HARDBACK plus other formats #NextChapterPub #crimethrillers #crime #mustread #pageturners #crimefiction https://t.co/NK8gkdMfRd",,Twitter Web App
David P Perlmutter - Author. Actor. Dreamer. ✍🏼🎬,"London, England",My #BookToMovie BESTSELLING #TrueStory #WrongPlaceWrongTime with a #Hollywood director + my #CrimeFiction trilogy which readers want as a TV series! 🙏🎬😎⭐️,False,2022-09-14 01:44:00+00:00,"5⭐️⭐️⭐️⭐️⭐️ Downloaded #WriteToSurvive and my day is sorted. #Coffee and a #book. If it's anything like #WriteToKill, I'll be on the edge of my seat. https://t.co/o4xjtQN9y1
#CrimeFiction #bookboost #bookbangs #IARTG #mustread #BookBlitz #BookWorm #London #fiction #crime #BYNR https://t.co/9jK5X7BMoY","['WriteToSurvive', 'Coffee', 'book']",TweetDeck
Lysette,In the Heart of the Carb Belt,"Living low-carb and loving it! I FollowBack...and Unfollowback.           Fat: 1g = 9 calories 
Protein: 1g = 4 calories 
Carbs: 1g = 4 calories.",False,2022-09-14 01:43:30+00:00,"Watch ""Danger on the Air (1938)"" Nan Grey, Donald Woods, Jed Prouty, Berton Churchill, William Lundigan, Edward Van Sloan, Lee J. Cobb, et al - https://t.co/envzV8JO45 #Drama #Crime #Mystery #Adventure #Romance",,Twitter Web App
Christopher Oldcorn,,Journalist and Opinion Writer @WSOnlineNews coldcorn@westernstandard.news,False,2022-09-14 01:41:00+00:00,Indigenous senator: Mass stabbing attacks caused by “colonial Canadian policies” - #news #canada #SaskatchewanStabbings #mylessanderson #mostwanted #rcmp #Sask #saskatchewan #sk #police #crime #parole #violentcrime #criminals #indigenous #fsin https://t.co/uVVRT8xmZD,"['news', 'canada']",Buffer
Angi4freedom,,California gold country,False,2022-09-14 01:37:16+00:00,BIDENS IFA 🤥Tucker Carlson 9/13/22  https://t.co/PTROxLQupZ via @FoxNews @thecandaceshow @CGasparino #COVID19 #ClimateEmergency #climatescam #crime #georgesoros #inflation #economy #recession #foodshorage #taxes #IRS #China #npr #mikelindell #raided #feetterman #lump #dow👎 #DOJ,['COVID19'],Twitter for iPad
Hanari Pinku,United States,I write and draw...that's all 🙇🏾,False,2022-09-14 01:35:03+00:00,"Throwback to chapter 31: https://t.co/ubvgllyfHq

#wattpad #booktwt #bts #webtoons #WritingCommunity #books #free #read #romance #agegap #bwwm #tattoos #airforce #soldier #police #detective #gang #crime #mystery #chapter #uniform #blondie #art #mentalhealth https://t.co/4LSqfJFdH6","['wattpad', 'booktwt', 'bts', 'webtoons', 'WritingCommunity', 'books', 'free']",Twitter for Android
BayWest,,,False,2022-09-14 01:33:18+00:00,"Don’t be fooled, all of the incumbent #Democrats running in the #midterms voted straight up with #JoeBiden and #ChuckSchumer. It is time for a change! #Inflation #Crime #USA #America","['Democrats', 'midterms', 'JoeBiden']",Twitter for iPhone
Raymond Norman,"Wisconsin & Minnesota, USA🇺🇸","Smart yet Simple 
Lover of Peeps Animals Earth Nature Culture
#Books #Movies #Music #News #Sports
 🌊🏒🏈🏀⚾️🥌⛳️

The @MainChannel_ Twitter #Promotion #Network",False,2022-09-14 01:33:08+00:00,"'5⭐️ - well written &amp; suspenseful -- you'll be shocked!'

https://t.co/rn8NwvvE0i

'I read the @AllenMadding’s “Shaken Awake” trilogy and I was excited to get a hold of this book...'

#KindleUnlimited
#suspense #thriller #mystery #crime
#IARTG #Kindle #books #ebooks #audiobooks",,Postaside
The Main Channel,United States ,"The Maximum Exposure Twitter #Promotion #Network for #Indies & #SmallBusiness

#Marketing #Books #Authors #Filmmakers #Musicians #Artists

DM for #Promo Options",False,2022-09-14 01:33:07+00:00,"'5⭐️ - well written &amp; suspenseful -- you'll be shocked!'

https://t.co/M9WZNVM4s1

'I read the @AllenMadding’s “Shaken Awake” trilogy and I was excited to get a hold of this book...'

#KindleUnlimited
#suspense #thriller #mystery #crime
#IARTG #Kindle #books #ebooks #audiobooks",,Postaside
WCCB Charlotte's CW,"Charlotte, NC","Watch WCCB  📺 💻📱We are your #1 source for news, weather, sports & entertainment. (Mentioning us in a tweet = consent to allowing WCCB to use your tweet)",True,2022-09-14 01:30:59+00:00,Check out some of the active inmates being held in Mecklenburg County 🚔. #crime #mugs #mugshots #meckcounty #inmates #nccrime  https://t.co/qqoNyuHFho,"['crime', 'mugs', 'mugshots', 'meckcounty']",Echobox
❌🇺🇸SYNDROME🇺🇸❌,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,"Christian, Husband, Father, Papaw, NavyVet #ULTRAMAGA #MolonLabe 1 LIFE; CHOOSE WISELY! #LETSGOBRANDON #PUREBLOOD",False,2022-09-14 01:30:16+00:00,@RNCResearch All REPUBLICAN POLITICIANS BETTER WAKE UP! You should be running on 3 things; #crime #inflation #BorderCrisis  These should be the ONLY topics until the #November8th election! @RNCResearch,"['crime', 'inflation']",Twitter for iPhone
Video Forensics,,"REDACTED

Like & RT ≠ Endorsement",False,2022-09-14 01:29:59+00:00,#BREAKING: @nzpolice shot at from vehicle during #Auckland chase this morning  https://t.co/CW1QP4o4p6 via @1NewsNZ #police #policing #crime #LawEnforcement #BreakingNews,"['BREAKING', 'Auckland']",Twitter Web App
HousingDrama ♿,planet earth,"#advocacy : enforced #legislation / #law , #accessibility , #consumer protection, #buildingcode #hoa #condo #insurance Share your story : video ,picture",False,2022-09-14 01:29:36+00:00,"@SKMorefield Prosecute as adult. #Texas West Brook High School assault isn't in self defense,attempted murder #crime #notonemore https://t.co/W3INXeDci3 https://t.co/kmctNh1SJp",['Texas'],Twitter for Android
Nitin Chopra,Toronto,"PRIME ASIA TV
Entrepreneur
Publisher-Canada Legal Pages
Publisher-Guardian Business Pages
Publisher-WOW GTA !",False,2022-09-14 01:29:25+00:00,"@PeelPolice BC Gangster Shot Dead in #On 

#crime 

https://t.co/g3JBwQPnBt https://t.co/g6c0cijfKr","['On', 'crime']",Twitter for Android
ymediagroup,Canada,"Your daily dose of latest news, alerts and more from Canada's largest South Asian community media group. Contact Number - 416-475-5000",False,2022-09-14 01:29:25+00:00,"Y MEDIA BREAKING NEWS
#ymedia #crime #Brampton #swordfight 
@YudhvirJaswal @PeelPolice 
https://t.co/fzCBKvRPvz https://t.co/sMIORewUQe","['ymedia', 'crime', 'Brampton', 'swordfight']",Twitter Web App
BookTeasers,Worldwide,📎Great Books Listed Daily! #WritingCommunity BOOK PROMOTION via @TweetYourBooks to 1.35 MILLION FOLLOWERS #amreading #Author #BookPromo,False,2022-09-14 01:25:15+00:00,"➖ Purple Kitty ➖
Serena McKay, PI - not like any crime story you've read before.
A dark #postapocalyptic dystopian crime series.
Free to read on Kindle Unlimited.
Now on #Audible.
➡️ https://t.co/Fsm98eQUKa  
#readers #crime #dystopian
#booktwitter @chariss_walker https://t.co/Qf9BOKhpQ9",['postapocalyptic'],Sendible
Michele Weinstat Miller (also Michele W. Miller),NYC,Author: “GONE BY MORNING” (@CrookedLaneBks);“WIDOWS-IN-LAW” (Blackstone); “THE 13th STEP: ZOMBIE RECOVERY.” Repped Writers House. ExChief NYC Ethics Prosecutor.,False,2022-09-14 01:22:18+00:00,"Two unique women—a City Hall press officer and an elderly “ex-con”—take on dangerous men in the world of NY politics.

4.6⭐️ reader average!

Get ""GONE BY MORNING"" here: https://t.co/Y7osCCQAYF 

#thriller #crime #suspense #booktwt #NYC #mystery #nyc #bookboost #ebook #audiobk https://t.co/hkXi3hYZD0",,Ripl App
The Best of Erotica & Romance,United States,"Flexible & Affordable #BookPromotion for #Authors & #Publishers

#Erotica #Romance #Erotic #EroticRomance #Steamy #BookMarketing 18+ 

DM for #Promotion Options",False,2022-09-14 01:18:10+00:00,"'Beautifully written, an excellent beginning to what I can tell you will be am amazing series (by @DieselJester)! Steampunk and the future are simply put, a sexy combo!'

https://t.co/4PAcpcY0Z3

#erotic #romance #lust #crime #mystery #steampunk
#IARTG #Kindle #books #ebooks",,Postaside
Amber,Minnesota,“What hurts us most in life is the image of how things are supposed to be”,False,2022-09-14 01:15:22+00:00,"@jhuntermav This is so outrageous and unacceptable, thank you for putting this together for everyone to see the #crime so easily. #AMC #APESNEVERLEAVING",,Twitter for iPhone
